no,"""question""","""answer""","""description""",
1,"""한국에서 추석 명절 연휴 이후 유일한 공휴일이자 한 해의 마지막 공휴일인 이 날은 무엇일까요?""","[""성탄절"",""크리스마스""]","""드디어 12월이네요! 올해도 어김없이 어드벤트 캘린더가 시작됩니다. 많관부~""","1: {""question"" : ""한국에서 추석 명절 연휴 이후 유일한 공휴일이자 한 해의 마지막 공휴일인 이 날은 무엇일까요?"", ""answer"" : [""성탄절"",""크리스마스""], ""description"" : ""드디어 12월이네요! 올해도 어김없이 어드벤트 캘린더가 시작됩니다. 많관부~""},"
2,"""캐럴 'Feliz Navidad'의 제목은 스페인어로 무슨 뜻일까요?""","[""행복한 성탄절"",""행복한 크리스마스"",""메리 크리스마스"",""메리크리스마스""]","""'Feliz Navidad'는 스페인어로 '행복한 성탄절', 즉 '메리 크리스마스'라는 뜻입니다. 'Feliz'는 '행복한'을, 'Navidad'는 '성탄절'을 의미합니다.""","2: {""question"" : ""캐럴 'Feliz Navidad'의 제목은 스페인어로 무슨 뜻일까요?"", ""answer"" : [""행복한 성탄절"",""행복한 크리스마스"",""메리 크리스마스"",""메리크리스마스""], ""description"" : ""'Feliz Navidad'는 스페인어로 '행복한 성탄절', 즉 '메리 크리스마스'라는 뜻입니다. 'Feliz'는 '행복한'을, 'Navidad'는 '성탄절'을 의미합니다.""},"
3,"""12월은 크리스마스 외에도 한 해를 마무리하는 달로 중요한데, 이때 보신각에서 타종하는 이 행사는 몇월 몇일에 열릴까요?""","[""12월31일"",""12월 31일""]","""매년 우리나라에서는 12월 31일 밤 12시에 서울 종로구에 위치한 보신각 종을 33번 타종하는 것으로 새해를 맞이합니다.""","3: {""question"" : ""12월은 크리스마스 외에도 한 해를 마무리하는 달로 중요한데, 이때 보신각에서 타종하는 이 행사는 몇월 몇일에 열릴까요?"", ""answer"" : [""12월31일"",""12월 31일""], ""description"" : ""매년 우리나라에서는 12월 31일 밤 12시에 서울 종로구에 위치한 보신각 종을 33번 타종하는 것으로 새해를 맞이합니다.""},"
4,"""기독교에서 예수가 태어난 곳으로 알려진 도시이며, 성탄절의 중요한 배경이 되는 이 도시는 어디일까요?""","""베들레헴""","""이스라엘의 도시 베들레헴은 아기 예수가 탄생한 곳으로, 매년 12월 24일 성탄절 전야에 성지순례객들로 붐비는 곳입니다.""","4: {""question"" : ""기독교에서 예수가 태어난 곳으로 알려진 도시이며, 성탄절의 중요한 배경이 되는 이 도시는 어디일까요?"", ""answer"" : ""베들레헴"", ""description"" : ""이스라엘의 도시 베들레헴은 아기 예수가 탄생한 곳으로, 매년 12월 24일 성탄절 전야에 성지순례객들로 붐비는 곳입니다.""},"
5,"""크리스마스 시즌, 특히 유럽 전역에서 많이 열리는 축제로, 다양한 수공예품, 음식, 음료 등을 파는 시장의 이름은 무엇일까요?""","[""크리스마스 마켓"",""크리스마스마켓""]","""독일, 오스트리아 등을 중심으로 매년 11월 말부터 약 한달 간 열리는 크리스마스 마켓은 많은 관광깩들의 사랑을 받고 있습니다.""","5: {""question"" : ""크리스마스 시즌, 특히 유럽 전역에서 많이 열리는 축제로, 다양한 수공예품, 음식, 음료 등을 파는 시장의 이름은 무엇일까요?"", ""answer"" : [""크리스마스 마켓"",""크리스마스마켓""], ""description"" : ""독일, 오스트리아 등을 중심으로 매년 11월 말부터 약 한달 간 열리는 크리스마스 마켓은 많은 관광깩들의 사랑을 받고 있습니다.""},"
6,"""매년 이 날 고백하면 성탄절에 100일이 된다는 의미를 가진 고백데이는 몇월 몇일일까요?""","[""9월17일"",""9월 17일""]","""고백데이는 매년 9월 17일로, 짝사랑하는 사람에게 고백하는 날로 알려져 10~20대 남녀를 중심으로 인기를 얻고 있습니다.""","6: {""question"" : ""매년 이 날 고백하면 성탄절에 100일이 된다는 의미를 가진 고백데이는 몇월 몇일일까요?"", ""answer"" : [""9월17일"",""9월 17일""], ""description"" : ""고백데이는 매년 9월 17일로, 짝사랑하는 사람에게 고백하는 날로 알려져 10~20대 남녀를 중심으로 인기를 얻고 있습니다.""},"
7,"""크리스마스를 상징하는 찰스 디킨스의 소설 '크리스마스 캐럴'은 영국의 한 구두쇠 할아버지에 대한 이야기입니다. 이 인물의 이름은 무엇일까요?""","""스크루지""","""스크루지는 욕심이 아주 많은 고리대금업자로, 어느 날 밤 자신의 과거, 현재, 미래를 본 뒤 깨달음을 얻고 베푸는 삶을 살게 됩니다.""","7: {""question"" : ""크리스마스를 상징하는 찰스 디킨스의 소설 '크리스마스 캐럴'은 영국의 한 구두쇠 할아버지에 대한 이야기입니다. 이 인물의 이름은 무엇일까요?"", ""answer"" : ""스크루지"", ""description"" : ""스크루지는 욕심이 아주 많은 고리대금업자로, 어느 날 밤 자신의 과거, 현재, 미래를 본 뒤 깨달음을 얻고 베푸는 삶을 살게 됩니다.""},"
8,"""한반도에 최초로 성탄절이 들어온 해는 1884년입니다. 그렇다면 그 당시 조선을 다스리던 왕은 누구일까요?""","""고종""",,"8: {""question"" : ""한반도에 최초로 성탄절이 들어온 해는 1884년입니다. 그렇다면 그 당시 조선을 다스리던 왕은 누구일까요?"", ""answer"" : ""고종"", ""description"" : },"
9,"""2021년 5월 발매된 BTS의 디지털 싱글 영어 곡으로, 같은 해 12월 Holiday 리믹스 버전으로도 발매되어 많은 사랑을 받은 이 곡의 제목은 무엇일까요?""","[""BUTTER"",""Butter"",""butter""]",,"9: {""question"" : ""2021년 5월 발매된 BTS의 디지털 싱글 영어 곡으로, 같은 해 12월 Holiday 리믹스 버전으로도 발매되어 많은 사랑을 받은 이 곡의 제목은 무엇일까요?"", ""answer"" : [""BUTTER"",""Butter"",""butter""], ""description"" : },"
10,"""크리스마스가 다가오면 생각나는 영화 '겨울왕국'에서 눈사람 올라프가 꿈꾸는 것은 무엇일까요?""","[""따뜻한 여름"",""여름""]",,"10: {""question"" : ""크리스마스가 다가오면 생각나는 영화 '겨울왕국'에서 눈사람 올라프가 꿈꾸는 것은 무엇일까요?"", ""answer"" : [""따뜻한 여름"",""여름""], ""description"" : },"
